Date,Adj Close,Close,High,Low,Open,Volume
2024-05-13,72.5353775024414,74.58000183105469,74.66999816894531,73.58999633789062,74.13999938964844,7685500
2024-05-14,73.35234069824219,75.41999816894531,75.61000061035156,74.66000366210938,74.94000244140625,8176600
2024-05-15,74.93766021728516,77.05000305175781,77.19000244140625,75.97000122070312,75.97000122070312,12470600
2024-05-16,74.3152084350586,76.41000366210938,77.41000366210938,76.05999755859375,77.05999755859375,10414200
2024-05-17,74.00398254394531,76.08999633789062,76.55000305175781,75.54000091552734,76.3499984741211,9490300
2024-05-20,73.7900161743164,75.87000274658203,76.19000244140625,75.56999969482422,75.98999786376953,7179700
2024-05-21,74.84039306640625,76.94999694824219,76.95999908447266,75.44999694824219,75.87000274658203,6420100
2024-05-22,74.22766876220703,76.31999969482422,77.18000030517578,76.16000366210938,76.41000366210938,8773600
2024-05-23,73.25508117675781,75.31999969482422,75.95999908447266,74.62000274658203,75.95999908447266,9097800
2024-05-24,74.50972747802734,76.61000061035156,77.0999984741211,75.26000213623047,75.41999816894531,7599700
2024-05-28,75.40449523925781,77.52999877929688,78.26000213623047,76.33000183105469,76.62000274658203,11986600
2024-05-29,74.57781219482422,76.68000030517578,76.9000015258789,76.16000366210938,76.7699966430664,6896300
2024-05-30,76.0464096069336,78.19000244140625,78.26000213623047,76.61000061035156,76.87000274658203,21764700
2024-05-31,77.82624053955078,80.0199966430664,80.47000122070312,78.12999725341797,78.29000091552734,16196000
2024-06-03,76.06912994384766,77.70999908447266,79.75,77.5199966430664,79.5,15410500
2024-06-04,75.52096557617188,77.1500015258789,77.79000091552734,76.52999877929688,77.61000061035156,8484300
2024-06-05,75.4230728149414,77.05000305175781,77.33000183105469,76.5999984741211,77.05000305175781,9264600
2024-06-06,75.08045959472656,76.69999694824219,77.7699966430664,76.62999725341797,76.94000244140625,6550600
2024-06-07,73.7981185913086,75.38999938964844,77.0,75.01000213623047,75.55999755859375,10059500
2024-06-10,75.34476470947266,76.97000122070312,77.05999755859375,74.8499984741211,75.47000122070312,11218900
2024-06-11,71.2040786743164,72.73999786376953,75.31999969482422,71.55000305175781,75.30000305175781,22781500
2024-06-12,70.73422241210938,72.26000213623047,73.94999694824219,71.4000015258789,73.79000091552734,13930500
2024-06-13,71.63479614257812,73.18000030517578,73.72000122070312,72.36000061035156,72.55999755859375,10023200
2024-06-14,71.51731872558594,73.05999755859375,73.54000091552734,72.37999725341797,72.76000213623047,6568500
2024-06-17,70.78316497802734,72.30999755859375,73.4000015258789,72.19000244140625,72.7300033569336,8445300
2024-06-18,68.95265197753906,70.44000244140625,70.58999633789062,68.97000122070312,69.0999984741211,29169800
2024-06-20,70.92999267578125,72.45999908447266,72.88999938964844,70.79000091552734,71.0,14857200
2024-06-21,71.27259826660156,72.80999755859375,73.69000244140625,72.06999969482422,73.36000061035156,19465800
2024-06-24,72.29064178466797,73.8499984741211,74.26000213623047,72.25,72.5,12063700
2024-06-25,71.43901824951172,72.9800033569336,73.73999786376953,72.38999938964844,73.56999969482422,11011800
2024-06-26,71.8207778930664,73.37000274658203,73.61000061035156,71.91999816894531,72.80000305175781,11481500
2024-06-27,72.16338348388672,73.72000122070312,74.38999938964844,73.2300033569336,73.62000274658203,9824500
2024-06-28,69.31483459472656,70.80999755859375,73.30999755859375,69.86000061035156,73.20999908447266,23935600
2024-07-01,68.4240493774414,69.9000015258789,71.62999725341797,69.54000091552734,71.45999908447266,11036400
2024-07-02,68.98201751708984,70.47000122070312,70.5999984741211,69.37999725341797,70.0,9415200
2024-07-03,70.31330108642578,71.83000183105469,71.91000366210938,70.55000305175781,70.91999816894531,4487200
2024-07-05,70.56780242919922,72.08999633789062,72.3499984741211,71.63999938964844,72.0,7688800
2024-07-08,70.58738708496094,72.11000061035156,72.58000183105469,71.73999786376953,72.1500015258789,5368700
