Ticker,Timeframe,RSI_1H,RSI_Z_1H,BBP_20_2.0_1H,MACDh_12_26_9_Z_1H,OBV_Z_1H,CMF_Z_1H,VWAP_Z_1H,sumZZ_1H,slope_sumZZ_1H,ATR_Z_1H
SPY,1H,60.46815665270672,-0.09620309575971006,0.6652013126376957,-0.570278070826073,0.056715756937745006,1.2660775194702503,3.0958456608824902,6.331467200645861,,2.776610110071918
QQQ,1H,65.37038398498079,0.3213152716468346,0.8227842995941941,-1.9426648427444935,1.2494075106716604,1.0199915803880966,2.6165611152940405,5.789620214253657,,2.8784418526992996
DIA,1H,74.63462374455581,1.11034238065409,0.9581916803461358,1.810191804681222,-0.04444856728799673,0.16372857155233175,1.959069296409604,6.131326238005084,,1.4452675517858304
IWM,1H,64.83884090630086,0.27604421761888037,0.8250998194208631,0.45707687467376434,0.14760663112312364,0.5464607941543841,0.5012015017087827,2.2635823079751214,,0.624168254601486
VTI,1H,75.35522911668801,1.1717157030490457,0.9950287944635278,-0.1914622728948098,-0.051767922597412266,0.9244312162853349,1.0628590967226943,3.2856281346165073,,0.6648779648458523
VOO,1H,68.79839331119155,0.6132757949606288,0.8280061357367483,-0.16563392820016307,-0.03795557768525595,1.769397866378305,2.7745672031546005,6.590548205795611,,1.9990767626616568
IVV,1H,75.67523487068758,1.1989703101724205,0.9200553163941902,-0.5578496262899688,-0.09503174609095948,1.5553118128800092,3.1099439644975813,7.196829245116442,,2.348216928059776
VUG,1H,71.1874469392386,0.8167493800924251,1.002055401752015,-2.7982278908546814,0.055817816248602346,1.1027402185143007,1.894205813348098,2.4757927822883707,,1.7655087307855086
VTV,1H,76.66748786718809,1.2834796205476628,0.9427846829345831,1.2008421152275417,-0.052714257734928105,0.5639048207426192,0.24808471901173815,2.850183491076202,,-0.06256398085534663
MTUM,1H,72.91673360933832,0.9640311967728865,0.9742306153808014,-0.778287930406511,0.048881549765804735,-0.48246402506534947,0.6401890478418925,0.661011404918336,,0.6167301540983299
QUAL,1H,78.59165108509495,1.4473589004976453,0.951777371582956,0.15326375715996454,0.07842005701905999,0.6767485335012939,0.29403865601494406,2.1850293016486515,,-0.11816386529301826
USMV,1H,75.8285486506132,1.2120279092507114,0.902906427066062,0.8533014039790505,-0.06532446828245321,-0.8217078831191303,-0.2868344630784158,0.17424058872181264,,-0.44702114577936863
XLK,1H,68.22928085348572,0.5648049901393769,0.8392866973393714,-2.3163707042370083,0.21685176657647917,0.5254228208500976,0.6773617049502048,0.6610577809243161,,1.2426125926407134
XLF,1H,72.02797540446761,0.8883364462920564,0.9032058821367159,0.11457545042169137,0.8153182556370666,0.005297961060080223,-0.5659687032472527,7.690509798709982,,-0.5893802630352222
XLY,1H,72.00261949905517,0.8861769062474283,0.9136391753840563,-1.0169289343990078,0.21439340993432912,1.171133195160779,0.5543286065652793,2.619578728962941,,1.0167080282366912
XLP,1H,72.19200231461609,0.9023064731990225,0.8751769305569231,0.9716220364710293,0.08858207782535378,0.15529290777509536,-0.3662166975360581,2.005130452098116,,-0.32061479743371685
XLV,1H,60.892147371454804,-0.06009218113080611,0.8725739934166273,2.741135527094979,-0.2556187594544487,0.2837880521964357,-0.028188479784775476,2.808187492022822,,0.4885145246182153
XLE,1H,58.87078480508588,-0.2322498436469498,0.7774711435774914,-0.259218273917393,-0.41914278715534203,0.22675956934934352,-0.33618310549380104,-0.7953891493187186,,-0.018170906002165747
XLI,1H,79.85873256072766,1.555275109440945,0.9344196929759678,0.20847038480247493,0.06679847591687266,0.47377599704485807,0.05016940477105659,2.408973912772425,,0.052790182671296204
XLRE,1H,72.53191369469359,0.9312564248951686,0.9132596596919242,0.5511405323295951,-0.32923281557060297,-0.05177713427493629,-0.6347036269133066,-0.048056491788695754,,-0.5852551510182359
XLU,1H,76.90465909911694,1.3036792846674414,0.8622010693333045,1.0163259962122948,-0.03557652287027202,0.501954392745501,-0.3689235598266075,2.419398792261877,,-0.12922946306659222
XLB,1H,72.1693725623399,0.900379117206581,0.9640985813219667,0.6200698187287726,0.25878901283814987,1.0450004425227202,-0.3310285957633797,1.9803761371233657,,-0.28872375825736674
XLC,1H,70.9003787720148,0.7923000381117733,0.8953690711993293,-0.18100809735551998,-0.09642745824908339,0.5532785786640665,-0.22744596582137946,0.3721272416268751,,-0.2091378968983985
ARKK,1H,68.6993672615779,0.6048418338725314,0.8901926139853303,-0.16760981790452992,0.7963586121277733,0.07552664773364265,-0.5244766729955821,1.13318415211927,-0.2078064762395414,0.14223724608256696
SMH,1H,61.34317399562992,-0.021678642341464906,0.4511599421443778,-4.116547113819748,0.04761841399566113,0.7584677711380149,0.7635729767912013,-0.3785286472696807,-0.20293697832484936,2.348195232177009
TAN,1H,58.29413906764415,-0.2813622512424843,0.3295482853036838,-0.9182386594910819,0.1303985413041099,-0.8712336794252566,-0.6749666921126581,-3.129134392755846,-0.22562840002326867,-0.21781742475108265
PBW,1H,58.90665291536138,-0.22919498840888494,0.5632843818795603,-0.22842535519826174,0.029318805694012035,-2.0319403830089513,-0.7891509296654826,-4.242277915173864,-0.2479816222468227,-0.6691165045368523
EEM,1H,58.812818013654145,-0.2371868240197364,0.5958224159570004,-0.1450790714028538,2.5124603189037717,0.5215993449258897,-0.6005426569137831,1.8231928873500856,-0.2427003059861768,-0.7271757215995319
EFA,1H,66.08730657614711,0.38237493484319207,0.8051750725499203,0.12471736756508137,2.146477506419635,1.0412284642965275,-0.32436918687233635,3.208514909768391,-0.21207362841122412,-0.5574411792671207
