Date,Time,Ticker,Timeframe,RSI_1D,RSI_Z_1D,BBP_20_2.0_1D,MACDh_12_26_9_Z_1D,OBV_Z_1D,CMF_Z_1D,VWAP_Z_1D,sumZZ_1D,slope_sumZZ_1D,ATR_Z_1D
05/20/25,00:00,SPY,1D,68.1384352443458,0.9495461911701564,0.8522051016666102,2.8422470436695386,0.011980802312368057,0.8717681241987605,3.4566000164240274,12.076024177473451,,3.038631179445426
05/20/25,00:00,QQQ,1D,70.4445928653161,1.1971939172107524,0.8422816097622666,3.1065814334534876,0.7055117013835219,1.4456839825290395,2.879828363810926,13.043804859102979,,3.2143616758755065
05/20/25,00:00,DIA,1D,63.303539777410926,0.4303488660859184,0.8660785325331541,1.5017251688580866,0.026247569420275903,0.26399173708936924,2.274317460765924,5.432065971641157,,1.6407278164755188
05/20/25,00:00,IWM,1D,64.03605856519395,0.509010710543955,0.8350761279924122,0.6859764746953003,0.058485589892373374,0.36142276737211826,0.6174286287046356,3.6991958151981756,,0.8123526118998092
05/20/25,00:00,VTI,1D,68.34494639000893,0.9717224791916119,0.8506277211033734,1.147521608931668,0.05680842991665512,0.4788078039051688,1.2162905541197089,4.134535821689869,,0.9864844442528262
05/20/25,00:00,VOO,1D,67.99681783632117,0.9343385450204943,0.8517584228663676,2.586350762570607,-0.06102566421425164,0.9408800172198635,3.1081907284971235,9.414246903973382,,2.5778499226932565
05/20/25,00:00,VUG,1D,69.26725404069715,1.0707648821591433,0.8276679929889793,2.253699664760739,0.0652440486702621,1.0296682134072417,2.0917316751985546,8.063304999107055,,2.27962261603797
05/20/25,00:00,VTV,1D,61.76817846307227,0.2654734322954511,0.8992363595354278,0.19260572079961732,0.0005343119123571083,0.052861919881878744,0.3581743348139243,0.22827693728537315,,0.08938114962093655
05/20/25,00:00,MTUM,1D,72.76102129308869,1.4459445782485327,0.8481646772847319,0.8171996901003911,0.049447238234220266,1.1143636658389866,0.7475779622587945,4.298053866601269,,0.817600953757032
05/20/25,00:00,QUAL,1D,66.75794124083544,0.8013012500294121,0.8697283634897377,0.400599584114221,0.003128969502948012,0.9043601131538613,0.3842802135844873,1.9489325403043625,,0.18603534606876218
05/20/25,00:00,USMV,1D,61.225677982390565,0.20721678531039905,0.9597308424257026,-0.29064191645468324,-0.007715769273388338,-0.12166787737479107,-0.22729160749474686,-1.48668157488562,,-0.41269332053816055
05/20/25,00:00,XLK,1D,70.5606091794107,1.2096523788995301,0.8216807615402332,1.3380529835315735,0.3709579526198829,1.0599276232485597,0.7616914631125073,5.622886117911257,,1.1644024296273074
05/20/25,00:00,XLF,1D,64.99727731463484,0.612231598553538,0.8193967307551474,-0.3066721832404278,0.5338101938104398,0.10926980947037397,-0.5573646916828804,1.8214551389347373,,-0.5090735047470692
05/20/25,00:00,XLY,1D,67.16272783678988,0.8447694323896688,0.8313895153432348,1.1730302556539505,0.130370301416556,0.44783798243525597,0.6550689034225009,3.7076033750823028,-0.6613861568086963,0.9829989129298105
05/20/25,00:00,XLP,1D,59.117843885001484,-0.019133884020525044,0.9765116258045696,-0.399805418968502,0.4291048074259078,0.24269861534498025,-0.313226707810448,-0.15488094740735742,-0.5842004415406379,-0.4094677212452843
05/20/25,00:00,XLV,1D,47.969865479492405,-1.2162643303394642,0.4456345032023272,-0.395444199409198,0.24540880182764183,-0.5847292611733595,0.09910266534119419,-1.4597297274466285,-0.4586290420227023,0.21370730593998552
05/20/25,00:00,XLE,1D,50.44357603383909,-0.9506238606265441,0.6206109147862591,-0.05619294588246503,3.054991057887833,-0.2667449447623129,-0.3006260324701578,1.887203370423278,-0.4246156290245895,-0.07501471606073729
05/20/25,00:00,XLI,1D,72.36790742445852,1.4037298767224846,0.8684198144901735,0.42785039745547176,0.5588194200346139,0.540033546376768,0.11075584041358014,2.8966522356401168,-0.4033065938207407,0.11934732623175433
05/20/25,00:00,XLRE,1D,56.95527099103876,-0.25136270251800885,0.7626690335869091,-0.4535750352562617,0.18563528526921005,-0.3677754804724187,-0.6230898610118962,-2.5698270307217483,-0.5203031480810957,-0.5807773394890331
05/20/25,00:00,XLU,1D,68.4462489999541,0.982600903444479,1.040866767696526,-0.24580899124711886,0.7724266027091677,0.48658618810513415,-0.3229086060366866,1.2859821853294935,-0.32360758861014927,-0.32438462590147094
05/20/25,00:00,XLB,1D,61.18303726086479,0.20263779312592534,0.8903366406502873,-0.15030691162289955,-0.07443826406507195,-0.19191271309504995,-0.28767289960349796,-1.3182333491045901,-0.21012609745425834,-0.25042325452905706
05/20/25,00:00,XLC,1D,68.6210011389568,1.0013667369032266,0.8511108530939914,0.0007239837522893378,0.6810137979765546,0.2932430585907964,-0.18539491219946616,1.0484447609704763,-0.24608532893556762,-0.17904926864542736
05/20/25,00:00,ARKK,1D,65.5590121141946,0.672553731127596,0.8530652106505344,0.1429804958684607,-0.9803592555975174,0.00668970883954557,-0.5333735614991728,-0.9378530998455313,-0.2082325909624589,-0.030637578770818255
05/20/25,00:00,SMH,1D,70.26405812096792,1.1778071161948116,0.82520326499927,2.277331894018341,0.24819375242416397,0.9393946125576232,0.7849078754571511,6.737623764754588,-0.005509098531676572,1.8531908792446334
05/20/25,00:00,TAN,1D,65.25911555739867,0.6403492106461779,0.8054059687493694,-0.019512362687816878,-0.10791685000820454,-0.019687557301769236,-0.6995752870225057,-1.3083978889456453,-0.16698313505661558,-0.40945502978894305
