Ticker,CMF_3MO,CMF_3MO_Avg,CMF_3MO_Slope,RSI_3MO,RSI_3MO_Avg,RSI_3MO_Slope,ROC_3MO,MACD_12_26_9_3MO,MACDh_12_26_9_3MO,MACDs_12_26_9_3MO,EMA_50_3MO,BBL_20_2.0_3MO,BBM_20_2.0_3MO,BBU_20_2.0_3MO,BBB_20_2.0_3MO,BBP_20_2.0_3MO,ADX_14_3MO,DMP_14_3MO,DMN_14_3MO,VOLUME_3MO,VOLUME_3MO_Avg,VOLUME_3MO_Slope,REL_VOLUME_3MO
SPY,0.29744181103244804,0.32362196271752675,-0.03721816452872778,71.59726459596156,74.17133050179964,2.769711298201969,44.82138530791273,72.94818474344044,9.658811750282155,63.28937299315828,354.1811366641148,310.7617422573255,460.9760009765625,611.1902596957995,65.1722685784132,0.9250394836759954,32.17521483317182,27.481379084457107,18.046215225734404,486314608,2878956701.6,-4118806092.0,0.16892043139437538
QQQ,0.21286590656269289,0.2506397620985954,-0.024578092499417226,72.45285976866724,74.46600581711672,3.210325054852433,75.50570182144223,76.61682221102836,10.369181241044942,66.24764096998342,269.53349143207265,225.40328412734561,380.2682418823242,535.1331996373028,81.4503767069259,0.9416965924300472,48.83148070156991,29.859101869290928,15.420321174424759,328872758,1896129851.6,-2604383542.0,0.17344421729476453
DIA,0.28505998858805515,0.2815104823130653,-0.010061804926855322,68.27267733540002,72.40924136645108,2.3122655549111357,24.12346461870665,44.20995834968994,3.3474547754481847,40.86250357424176,284.23944862603105,271.9986573551318,358.83600158691405,445.6733458186963,48.39946039291116,0.8697371607465199,23.316024869711672,24.115966436081433,17.91117855751586,20065927,164751525.4,-184169473.0,0.12179509082712262
IWM,0.08266585396929772,0.11016043477136714,-0.0281298177285957,56.01834752849774,58.65732418105931,3.2042216785109616,9.27773124401289,14.772389182845956,-0.7244270611236363,15.496816243969592,160.313573703314,157.92169251138233,199.01524963378907,240.1088067561958,41.2968927738187,0.6244689703172538,13.347545328311238,17.83337090133526,19.078921567479114,237193014,1537347622.8,-1897953686.0,0.15428716998176115
VTI,0.2918915649602103,0.31094353810423825,-0.032477012462285126,69.65605525172799,72.17876610834547,2.8864457019392944,41.9238957885054,34.58559727466832,4.326802619590303,30.258794655078013,177.96271676909393,161.06407920192214,231.25775222778321,301.4514252536443,60.70600647949049,0.9193914850142545,25.015481711311125,25.689119364920074,19.04538978287225,25629295,171379019.0,-250170505.0,0.1495474483956522
VOO,0.5100752469317391,0.48961710388978474,0.0011744145637490044,80.80127439815745,82.13902075984528,-1.7150970077803152,44.495182575781776,70.26534993407955,10.510009123897632,59.75534081018192,308.9161320710034,280.5052307555942,421.69449615478516,562.8837615539761,66.96282104064584,0.9229269789907366,34.3919853173225,30.639747332941607,21.710041424092744,479885633,367088546.6,116566433.0,1.3072748726287826
IVV,0.28630115806127054,0.30232902889015884,-0.026085533445578013,71.58969209239737,74.08881601818199,2.70120686834494,44.86051872483744,73.32931394489418,9.760635079939853,63.56867886495433,355.8481020154238,311.8364220096827,463.05999755859375,614.2835731075048,65.31489497957588,0.9246030502982674,28.509237352526235,27.406621980869236,18.28070714678505,37637473,301507654.6,-434995827.0,0.12483090371265154
XLK,0.1664485196136641,0.24132153819933905,-0.05666191559510439,73.4936100508148,75.79011587859928,4.06730146008168,71.45262071035967,36.140247202625574,4.076111743422807,32.06413545920277,120.06011470363012,96.58050755557359,170.39634971618653,244.21219187679947,86.64016838806836,0.9247776837407757,46.03784113518286,26.84699286516815,18.066000150931547,40273650,262140510.0,-320395950.0,0.1536338279039741
XLF,0.22573581797675343,0.18626870752558664,0.007147485104765178,70.64162427258002,70.06575646542203,2.0714981907116226,40.13949312316328,5.767121860188986,1.2785904010872997,4.4885314591016865,31.45658530833671,24.22151782330578,38.266749954223634,52.31198208514149,73.40697680215527,0.9616602465252547,20.17749445130758,26.40373288616659,15.56910353634803,271841467,2199023913.4,-3132936133.0,0.12361914999809842
XLY,0.0826934414964362,0.12231815213368846,-0.032964524018009686,64.19700460501333,66.026298500807,3.5898068322012975,45.030267712227236,23.429375069988623,2.5139834334100755,20.915391636578548,131.76107582236412,128.42564722461145,175.9289993286133,223.43235143261512,54.0028673900106,0.9181915862117551,34.60908131581479,26.48865676759387,13.76776055834999,29116509,176493881.8,-258899291.0,0.16497177524257953
XLP,0.2273705623099179,0.26887949946818573,-0.03761123813635661,64.03519823645746,65.38819844256811,-3.1878161509259115,8.584217540593109,5.750324664946774,-0.13277661514393024,5.883101280090704,60.85932064206893,63.886586013668946,74.07950000762939,84.27241400158984,27.51885202494802,0.7938560891784404,19.944004292222928,20.495417292950535,13.33659227887317,106600035,590162087.0,-828839265.0,0.18062840251546014
XLV,0.168039369286705,0.23116153879990278,-0.037053797280204276,58.42982778818389,70.48185617735078,-8.139782744309265,-0.4161727144797509,12.721867017861925,-1.7653004304065707,14.487167448268496,102.17281739309979,110.99936172534113,132.67974891662598,154.36013610791082,32.68077814182251,0.5028884114949207,33.11765614970393,21.655281355159016,15.131054774857255,89372574,405830734.8,-500245726.0,0.22022130493404907
XLE,0.18478021706767528,0.13399785782804233,0.05485666133196915,57.38395234894505,59.284051568024815,3.7715097176817807,-4.1921457025163935,6.466619637756409,0.6017542328141996,5.8648654049422095,72.1495768610425,36.82896595548987,74.72699995040894,112.625033945328,101.43063155236882,0.6508390080766888,18.463481494281837,20.761100934644052,18.478404552396213,121346660,783555092.0,-1029285140.0,0.15486678759277336
