Ticker,Timeframe,Date,Time,CMF_1WK,OBV_1WK,RSI_1WK,MACD_12_26_9_1WK,MACDh_12_26_9_1WK,MACDs_12_26_9_1WK,ATR_1WK,VWAP_1WK,BBL_20_2.0_1WK,BBM_20_2.0_1WK,BBU_20_2.0_1WK,BBB_20_2.0_1WK,BBP_20_2.0_1WK,VOLUME_1WK,VOLUME_1WK_Avg,VOLUME_1WK_Slope,REL_VOLUME_1WK,OBV_Z_1WK,OBV_Trend_1WK,CMF_Z_1WK,CMF_Trend_1WK,RSI_Z_1WK,MACDh_12_26_9_Z_1WK,VOLUME_Z_1WK,VWAP_Z_1WK,ATR_Z_1WK,sumZZ_1WK,slope_sumZZ_1WK
SPY,1WK,05/19/25,00:00,0.11110542680708277,45311607.0,56.66420534028806,-1.4779689800728875,2.045501356219234,-3.5234703362921214,23.519631191213296,564.6016517764258,517.4893219847211,574.2617499999999,631.0341780152787,19.77231741981033,0.6639726417460029,1575391.0,4535806.4,-3585934.0,0.3473232455424023,0.9652163594587654,,0.14089022289923683,,0.3360934280845459,1.9588889318470295,0.934679810638397,3.482718363618765,2.9337571349403833,10.752244251487124,
QQQ,1WK,05/19/25,00:00,0.1400017694107052,46216988.0,57.76536955600953,-0.34224016617116604,3.007834272355193,-3.350074438526359,25.752260974800684,484.7041974457724,433.8835040310812,495.5295,557.1754959689188,24.88085814019903,0.7007470202320919,1158346.0,2483625.2,-1873731.0,0.4663932384000613,0.9876930046099691,,0.3902374182893496,,0.4954317212779732,3.129075700954951,0.4898548950829593,2.8563510161458074,3.291002212675851,11.639645969036861,
DIA,1WK,05/19/25,00:00,-0.0030825882276703256,-1068511.0,53.613015557175764,-2.519702807800286,0.1806774543468217,-2.7003802621471076,14.981998582339044,420.6078745405612,386.62122138042724,422.0155,457.4097786195727,16.773923526303054,0.5715440488904241,55717.0,121383.6,-123519.0,0.4590158802342326,-0.18619885066487696,,-0.844440747412225,,-0.10541326574840298,-0.3087174443844189,-0.6862216717479023,2.3538588642086933,1.567642946436919,1.790509830687786,
IWM,1WK,05/19/25,00:00,0.06757593055563825,4702836.0,50.52769538001792,-4.97533948196525,0.6314266625907079,-5.606766144555958,10.160523693072314,203.7194115249827,179.50761525540025,208.08675,236.66588474459974,27.468481048985332,0.5173771880932767,1224825.0,2790976.0,-2482004.0,0.43885185684147765,-0.04292158003133839,,-0.23472678704310357,,-0.5518586223671504,0.23938888226059693,0.56076214864363,0.6535312077812997,0.7961544604022702,1.4203297096462046,
VTI,1WK,05/19/25,00:00,0.11844805780144975,1127944.0,56.20847102882025,-1.1678442192507532,0.9888582556744065,-2.1567024749251598,11.568549223857806,276.7625522242701,253.7385390949692,283.29875,312.85896090503076,20.86857842121137,0.6453178062159544,35167.0,137881.2,-125238.0,0.25505290061299146,-0.1316704922990762,,0.20424995220284795,,0.2701487430846012,0.674021964091727,-0.7081405342559391,1.226163198051778,1.0214538781099165,2.5562267089858555,
VOO,1WK,05/19/25,00:00,0.08382730041801274,1783725.0,56.587824799121655,-1.4069978200666355,1.854987149795555,-3.2619849698621906,21.269194380731612,516.5590559483821,475.6760331679778,528.0345,580.3929668320222,19.831456782472447,0.6622994429394329,106823.0,279237.8,-208240.0,0.38255207568602817,-0.11539032203495372,,-0.09449334809147313,,0.325041175487805,1.7272256478150951,-0.6317114339213459,3.106081666409479,2.573662738991096,6.890416124655703,
VUG,1WK,05/19/25,00:00,0.220302127661132,1161362.0,57.605452263458176,-0.17743768187733622,2.3383812369121424,-2.5158189187894786,20.376267021987804,385.06491755066764,342.44726152361784,393.9095,445.3717384763821,26.12896539757591,0.6872780952663596,34210.0,86797.4,-76097.0,0.39413622988707037,-0.1308408697118307,,1.0831510299951852,,0.4722917135630002,2.315027806012202,-0.7091612812836856,2.0752148463533753,2.4307846380038387,7.536467882932085,
VTV,1WK,05/19/25,00:00,0.16247959876205015,2019230.0,53.679353802686364,-0.7847132451508685,0.0815730033937867,-0.8662862485446552,5.348281872743214,167.04085487232558,159.3888082002568,171.086,182.78319179974324,13.67404907443417,0.5801046965837191,35877.0,182534.4,-81751.0,0.196549253181866,-0.10954376426940064,,0.584199117321559,,-0.09581413179345502,-0.4292274210467593,-0.7073832402228147,0.3659844964107078,0.026143365941723097,-0.36564157765843985,
MTUM,1WK,05/19/25,00:00,0.23457139188189569,-202843.0,62.27773427569355,3.531915294526897,2.2034616693386435,1.3284536251882533,11.064203160860789,209.96204079708977,186.25013933319588,212.17825,238.1063606668041,24.439932619676252,0.8508113304856223,43047.0,111797.4,-127269.0,0.3850447327039806,-0.16470810538222558,,1.206280834432162,,1.1483702044174884,2.150967021827236,-0.6997356370995726,0.702471179288334,0.9407530159224375,5.2843985134058595,
QUAL,1WK,05/19/25,00:00,0.040784002103231416,922184.0,55.041813697850635,-1.1777346807722893,0.5459292450392548,-1.723663925811544,6.578347982184184,171.82584743134132,158.66694084500523,174.81099999999998,190.95505915499473,18.47030124533897,0.6306672615447746,32797.0,96676.8,-34307.0,0.3392437482415636,-0.1367786119816316,,-0.4659149450165195,,0.10133360615563468,0.13542491601352435,-0.7106684030707346,0.40349711958471846,0.22296733833401108,-0.45013897998099717,
