Ticker,Timeframe,Date,Time,CMF_1D,OBV_1D,RSI_1D,MACD_12_26_9_1D,MACDh_12_26_9_1D,MACDs_12_26_9_1D,ATR_1D,VWAP_1D,BBL_20_2.0_1D,BBM_20_2.0_1D,BBU_20_2.0_1D,BBB_20_2.0_1D,BBP_20_2.0_1D,VOLUME_1D,VOLUME_1D_Avg,VOLUME_1D_Slope,REL_VOLUME_1D,OBV_Z_1D,OBV_Trend_1D,CMF_Z_1D,CMF_Trend_1D,RSI_Z_1D,MACDh_12_26_9_Z_1D,VOLUME_Z_1D,VWAP_Z_1D,ATR_Z_1D,sumZZ_1D,slope_sumZZ_1D
SPY,1D,05/20/25,00:00,0.28977220242415835,-227801.0,68.1384352443458,12.245520462351692,3.6287365814176393,8.616783880934053,9.914819195968676,566.0256225330452,532.51150708658,567.9304999999999,603.3494929134199,12.473002564017948,0.8522051016666102,788847.0,898829.2,2303.0,0.8776383766793514,0.011980802312368057,,0.8717681241987605,,0.9495461911701564,2.8422470436695386,0.9052508202531734,3.4566000164240274,3.038631179445426,12.076024177473451,
QQQ,1D,05/20/25,00:00,0.39457308815259506,8960090.0,70.4445928653161,14.676934882970386,3.9146543335295476,10.762280549440838,10.362835599304193,491.8397889557882,450.5438007469011,491.941,533.3381992530989,16.83014802714101,0.8422816097622666,594391.0,584943.2,30436.0,1.0161516536990258,0.7055117013835219,,1.4456839825290395,,1.1971939172107524,3.1065814334534876,0.4946437848397455,2.879828363810926,3.2143616758755065,13.043804859102979,
DIA,1D,05/20/25,00:00,0.1787881569942136,-38795.0,63.303539777410926,5.448248477501863,2.1787587657569514,3.269489711744912,6.350932166618652,413.9574400591379,393.99094997616453,413.09375,432.19655002383547,9.24865119544194,0.8660785325331541,26123.0,34292.0,-3471.0,0.7617811734515338,0.026247569420275903,,0.26399173708936924,,0.4303488660859184,1.5017251688580866,-0.7052926470539362,2.274317460765924,1.6407278164755188,5.432065971641157,
IWM,1D,05/20/25,00:00,0.1965797167200124,388294.0,64.03605856519395,3.9631864348735633,1.2964027729787047,2.6667836618948586,4.239029637998655,200.84419395137948,188.30565873128876,200.74425000000002,213.1828412687113,12.39247576825863,0.8350761279924122,670105.0,667545.8,115385.0,1.0038337444412053,0.058485589892373374,,0.36142276737211826,,0.509010710543955,0.6859764746953003,0.6545190320899835,0.6174286287046356,0.8123526118998092,3.6991958151981756,
VTI,1D,05/20/25,00:00,0.21801501184449207,366075.0,68.34494639000893,6.1000062105522375,1.7956338695715868,4.304372340980651,4.682970324571873,277.87133447279484,261.87778218489075,279.519,297.16021781510926,12.622553611818343,0.8506277211033734,17690.0,30599.6,213.0,0.5781121321847345,0.05680842991665512,,0.4788078039051688,,0.9717224791916119,1.147521608931668,-0.7230994986277701,1.2162905541197089,0.9864844442528262,4.134535821689869,
VOO,1D,05/20/25,00:00,0.3023924977128317,-1194990.0,67.99681783632117,11.261183745543235,3.35194592422996,7.909237821313275,8.740079662602225,521.2123357950194,489.4836048856297,522.0905,554.6973951143704,12.490897694698651,0.8517584228663676,41730.0,51717.4,-23363.0,0.8068851102336931,-0.06102566421425164,,0.9408800172198635,,0.9343385450204943,2.586350762570607,-0.6723374078137103,3.1081907284971235,2.5778499226932565,9.414246903973382,
VUG,1D,05/20/25,00:00,0.31860581795412835,477830.0,69.26725404069715,11.995313649810953,2.9921332861502385,9.003180363660714,7.979763564836568,390.4727929890092,358.4246275469913,391.50575,424.58687245300865,16.899431210401726,0.8276679929889793,15641.0,14124.0,-2928.0,1.107405834041348,0.0652440486702621,,1.0296682134072417,,1.0707648821591433,2.253699664760739,-0.7274261011268554,2.0917316751985546,2.27962261603797,8.063304999107055,
VTV,1D,05/20/25,00:00,0.14023443605086505,-379444.0,61.76817846307227,1.7271490546412167,0.76274743956973,0.9644016150714867,2.3958488536475695,167.49824878637486,162.48525592887933,168.30949999999999,174.13374407112065,6.920873831982936,0.8992363595354278,14065.0,23164.4,-7747.0,0.6071817098651379,0.0005343119123571083,,0.052861919881878744,,0.2654734322954511,0.19260572079961732,-0.730753932038792,0.3581743348139243,0.08938114962093655,0.22827693728537315,
MTUM,1D,05/20/25,00:00,0.3340717757303107,268554.0,72.76102129308869,7.489983843951052,1.4383405919820742,6.051643251968978,4.252410031784112,217.584331500609,198.84805777623302,217.4305,236.01294222376697,17.09276502033245,0.8481646772847319,31433.0,28479.4,19819.0,1.1037100500712795,0.049447238234220266,,1.1143636658389866,,1.4459445782485327,0.8171996901003911,-0.6940802218366876,0.7475779622587945,0.817600953757032,4.298053866601269,
QUAL,1D,05/20/25,00:00,0.2957237182440616,-345070.0,66.75794124083544,3.10201451858822,0.9877243633085953,2.1142901552796247,2.6422640538519846,170.8560531602319,163.28928892941667,172.3385,181.38771107058335,10.501670921568122,0.8697283634897377,14056.0,14128.6,-4685.0,0.9948614866299562,0.003128969502948012,,0.9043601131538613,,0.8013012500294121,0.400599584114221,-0.7307729361493297,0.3842802135844873,0.18603534606876218,1.9489325403043625,
USMV,1D,05/20/25,00:00,0.10836412427429556,-488741.0,61.225677982390565,0.6889366504433099,0.24004179286945948,0.4488948575738504,1.1158342694017265,92.19413360580776,90.24951505740735,92.3415,94.43348494259264,4.530974572846761,0.9597308424257026,59939.0,73033.2,10542.0,0.8207089378529218,-0.007715769273388338,,-0.12166787737479107,,0.20721678531039905,-0.29064191645468324,-0.6338878690602489,-0.22729160749474686,-0.41269332053816055,-1.48668157488562,
