Ticker,Timeframe,Date,Time,CMF_5M,OBV_5M,RSI_5M,MACD_12_26_9_5M,MACDh_12_26_9_5M,MACDs_12_26_9_5M,ATR_5M,VWAP_5M,BBL_20_2.0_5M,BBM_20_2.0_5M,BBU_20_2.0_5M,BBB_20_2.0_5M,BBP_20_2.0_5M,VOLUME_5M,VOLUME_5M_Avg,VOLUME_5M_Slope,REL_VOLUME_5M,PCT_GAIN_5M,PCT_GAIN_5M_Avg,OBV_Z_5M,OBV_Trend_5M,CMF_Z_5M,CMF_Trend_5M,RSI_Z_5M,MACDh_12_26_9_Z_5M,VOLUME_Z_5M,VWAP_Z_5M,ATR_Z_5M,PCT_GAIN_Z_5M,sumZZ_5M,slope_sumZZ_5M
SPY,5M,05/20/25,15:55,0.2154074037586094,1403022.0,61.167250999015494,-0.042252638095192196,0.24707985344468936,-0.28933249153988155,0.6103712401602825,591.513955504055,589.9798364803838,591.3215,592.6631635196162,0.4537847920686769,1.0808088157773794,68147.0,30626.0,31065.0,2.225135505779403,0.09116385859471986,0.026875596953285265,1.8926216316644646,,0.1987285993716067,,0.4194650282714292,3.6480451255757127,1.4234005861114967,3.4244659815018026,4.06306375463929,0.7512315616471035,15.821022268782905,
QQQ,5M,05/20/25,16:55,0.3337014458776975,1767392.0,53.37001696852907,0.15491613864321607,0.1226003460463982,0.03231579259681787,0.4813422608261219,518.8453171819494,517.0480551807283,518.8132499999999,520.5784448192716,0.6804740701096751,0.6888601735969315,900.0,728.8,600.0,1.234906695938529,0.003850152081003698,-0.0030762713646378488,2.483886012806651,,0.7142646944518005,,-0.4238374778360606,1.5305492166584889,-0.594785179897522,2.8883322791029027,3.0266007709488116,-0.6949718004771875,8.930038515757886,
DIA,5M,05/20/25,15:55,0.6477287707921158,43742.0,61.507544458304466,-0.03018678884501469,0.15568607511656185,-0.18587286396157654,0.27323873955191735,426.41945067804033,425.0729239816436,426.224,427.37507601835637,0.5401272656426562,0.8718260072963199,3785.0,1846.4,2368.0,2.049935008665511,0.11251758087200218,0.054886514923241966,-0.31308643430954813,,2.082824073561353,,0.4562691470022959,2.0933639113330997,-0.5082018983394448,2.2064339643646527,1.3549484205279303,1.104919730255807,8.477470914396147,
IWM,5M,05/20/25,16:10,0.15021895745802336,732963.0,49.25268293019518,-0.04477706089909361,0.04046969957337569,-0.0852467604724693,0.1974988440118878,208.8447753145217,208.38571396275307,208.77075,209.1557860372469,0.36886013701336967,0.6678414323554946,636.0,17678.8,-464.0,0.035975292440663394,0.004787208578687026,0.012954417087873154,0.8053147184615328,,-0.08536852376428586,,-0.8691438646179432,0.13344127866756972,-0.6027082254196476,0.6012144509091819,0.7465455755165018,-0.6794510499380136,0.04984435981489588,
VTI,5M,05/20/25,15:55,0.19100681764049196,6691.0,56.5604276827529,-0.11456818924693835,0.09093911743691424,-0.2055073066838526,0.21446251415086617,291.40282105099504,290.55028660364815,291.4595,292.36871339635184,0.6239037645723299,0.736743102184452,979.0,842.2,125.0,1.1624317264307764,0.07542770939759674,0.021970977525496854,-0.3732092122157949,,0.0923886463219136,,-0.07878161055060738,0.9919664133271546,-0.5924142685480981,1.210310090314451,0.8828112133392422,0.49058895713009226,2.6236602291183533,
VOO,5M,05/20/25,15:55,0.6693597550130835,67287.0,59.241473576958974,-0.15708651211389224,0.1741917164917418,-0.33127822860563405,0.3491181151027723,544.4439761287459,542.6131291582045,544.088,545.5628708417954,0.5421442273292006,0.819349997743956,1952.0,1237.0,964.0,1.5780113177041228,0.07528184789393856,0.02812989767368883,-0.27487988642143224,,2.1770938519732916,,0.2111843841512511,2.4081596614355845,-0.5632130439532942,3.077193720771307,1.9644716794876929,0.48817300887388315,9.488183376318283,
VUG,5M,05/20/25,15:55,0.19435028248571987,64377.0,55.68124802054033,-0.17738434104160206,0.18071103280505096,-0.358095373846653,0.36083074633688456,412.39654758800515,410.65347233223747,412.42449999999997,414.19552766776246,0.8588372745860133,0.7147058495593257,100.0,126.8,-34.0,0.7886435331230284,0.0,0.0,-0.2796019528624778,,0.10695976739842099,,-0.17386845924127642,2.519058442374679,-0.6187944087524482,2.1029759785590407,2.0585568127532574,-0.7587430353332257,4.956543144895971,
VTV,5M,05/20/25,15:55,0.4787277265077048,58528.0,52.71333163610854,-0.06648400106635677,0.037704822062719884,-0.10418882312907665,0.10410449290544337,172.8243641534622,172.4246457462298,172.84075,173.25685425377023,0.48148860007864397,0.6432934161565281,1565.0,597.2,587.0,2.6205626255860683,0.0,0.025473282000810393,-0.2890931441386549,,1.346302293815682,,-0.4948606617483326,0.08640850243125178,-0.5748275084118647,0.3354635459299304,-0.0036718431373990545,-0.7587430353332257,-0.35302185059261293,
MTUM,5M,05/20/25,15:55,0.217379686307167,23809.0,57.204031477054315,-0.00432384847235312,0.08684194710989566,-0.09116579558224878,0.20971177703977156,229.9862924939467,229.2748379832201,229.923,230.5711620167799,0.5638078981049364,0.8448211931799982,1235.0,823.8,108.0,1.4991502791939793,0.05863574174212908,0.005676367513772425,-0.34543177807908787,,0.20732398444141936,,-0.009173248078407513,0.9222702714727407,-0.5847313153145217,0.7571920519961021,0.8446495291478012,0.2124585117548887,2.0045580073409353,
QUAL,5M,05/20/25,15:55,-0.1537793223282601,-12474.0,58.687406687234976,-0.06584100555770078,0.061443677913125994,-0.12728468347082678,0.11916651058432387,178.73525050680567,178.23258737345435,178.72075,179.20891262654567,0.5462853379315595,0.8167489512545332,1104.0,487.8,716.0,2.2632226322263223,0.09504640500949764,0.03467781162470811,-0.40430831989367727,,-1.4102204204840096,,0.15125980130192995,0.49022541331260616,-0.5886628265395158,0.3790728037645189,0.11731821556422876,0.8155393536633913,-0.4497759793105276,
