Ticker,Timeframe,RSI_5M,RSI_Z_5M,BBP_20_2.0_5M,MACDh_12_26_9_Z_5M,OBV_Z_5M,CMF_Z_5M,VWAP_Z_5M,sumZZ_5M,slope_sumZZ_5M,ATR_Z_5M
SPY,5M,30.041820651810152,-1.942951391603843,-0.4640863191744802,-4.627712691862139,1.5228769947790457,-0.1508178271519162,3.0998927394341482,1.8871106892211706,,4.336529540684898
QQQ,5M,57.04964584128995,-0.010810284487489512,0.6067061813725959,-0.21776767273555708,2.377809484749478,0.23060034872998894,2.608397215728377,6.70023860621671,,2.072240313743605
DIA,5M,71.23462619813118,1.0039838893790822,0.8520660722016715,-1.7640813826266557,-0.13581752212212128,1.4837544065210115,1.9678889247997111,3.3411042738124856,,1.0791330526891505
IWM,5M,44.66238468732145,-0.8969955405106568,0.03148589156486749,-1.2659478027185704,0.891347492360176,0.15241009235936723,0.5042362357976776,-0.5395842907259366,,0.417380492927083
VTI,5M,69.30480593563098,0.8659244554052901,0.8495966469239067,-0.25239230775062177,-0.17975311641998473,1.216948122759917,1.0625269785268205,3.1267976832778666,,0.6501819210660803
VOO,5M,45.405614064801185,-0.843824875261962,0.04291017067508468,-2.072978405326615,-0.11193822885047972,1.1708753044516462,2.775335577124423,2.259298068630068,,1.7019293850149575
IVV,5M,68.64767810768082,0.8189134991322482,0.9144087197670411,-0.20169444729630198,-0.40318299939437974,0.4970730796320799,3.118751023206464,4.706889147163692,,1.2372597913952743
VUG,5M,63.269478467204046,0.43415683935901767,1.0313361971549928,3.4925983438040635,-0.06539185743627186,-1.263650806251728,1.8830413009621305,7.676535387129288,,3.5537224127834546
VTV,5M,71.58293254880722,1.0289017423824038,0.9468226914778395,-0.14182357534032275,-0.06497113617911261,0.19029184501582438,0.2541475332044866,0.8539861553629488,,-0.06367513251837555
MTUM,5M,62.03373109983848,0.34575141353347316,0.850092532832927,0.04100738583474877,-0.14221863275616067,-0.9244615467861151,0.6428903634187819,-0.05938085085390543,,0.3284218964552851
QUAL,5M,66.5066389971616,0.6657434586585936,0.7689524324430127,-0.5375081685476117,-0.2110997317307953,-0.6946928980462953,0.29544949324508013,-0.9184961151418479,,-0.08143997539462368
USMV,5M,80.03485888793213,1.6335529573385685,1.2158022290653088,0.3338922605267303,-0.2819960663162065,1.2865081420289528,-0.28020462712322186,2.025381524626117,,-0.43859332992380934
XLK,5M,61.94945616878309,0.33972238093091683,0.9164898217905753,-0.0458021353994323,0.1765497608531302,-0.24327545407093504,0.6718545895759694,1.3883935248053225,,0.7398655958359613
XLF,5M,56.34170777380387,-0.06145620772958667,0.7180522804612844,0.19993690279951537,0.815342948538297,0.2281023796175541,-0.5657294497357402,7.127889105369949,,-0.49039401480855505
XLY,5M,66.31912456487561,0.6523286671951742,1.0461257805299862,0.6723421154603814,-0.1152521291637204,1.2142549113867938,0.5558649631791157,3.256057194844637,,0.4787817135938591
XLP,5M,67.58245052034393,0.742707066533977,0.8880233221646407,0.19148003896478663,-0.1634410424723171,0.3166596668319285,-0.36030389567896176,1.3025964034612223,,-0.407228223428797
XLV,5M,60.174718300225834,0.2127575488447249,0.7776408872745411,0.11788051560312837,-1.0242098391973147,0.49991700499386554,-0.016346002428420423,-0.20311136631308074,,0.3632168756889112
XLE,5M,59.361790586621225,0.15460066129269065,0.768395089046016,0.18118459196956946,-0.03916113576845255,0.40665170193529016,-0.3371918456829373,0.5872915779383059,,-0.20905091476874144
XLI,5M,68.56617921055918,0.8130830641302218,1.029176535468979,0.15380727577645867,0.1359991476288494,0.4649758685063635,0.055935333988983475,1.7515343531438208,,-0.016449822595427047
XLRE,5M,74.75326833400142,1.2557077162422225,0.9756169406143229,0.32428369936424045,-0.6364431594139066,0.12350446195304164,-0.6309982086305168,-0.09738930329301954,-0.13661694382216594,-0.5388379057068757
XLU,5M,76.65678243587296,1.391885206225173,1.1398952187662128,0.553026216013542,-0.38710914204893926,1.6911013082514996,-0.3597745321604935,2.891909644544394,-0.13494076022619872,-0.2562258459349334
XLB,5M,67.21304128086597,0.7162795118554174,1.0613786905701654,-0.007283790424195061,-0.5086437945222989,0.644257739437948,-0.3267664047053156,0.011025013545098883,-0.09993429064731922,-0.30706634339244765
XLC,5M,60.96885110441281,0.26956984767717296,0.699232839095324,0.07431820582642996,0.05210848161227305,1.075420251916786,-0.22719547405969334,0.6646936150046102,-0.0985696935251426,-0.2837408716999327
ARKK,5M,66.43815567801121,0.6608441587277804,0.9858468170440587,0.5589999550328372,-0.2937109440612162,0.2126406941991309,-0.5209002892537826,0.747386251949941,-0.15327312530201095,-0.16524825688780087
SMH,5M,56.56611646152126,-0.04540199946620881,0.7863616994907094,0.15413770344883063,0.8511561251408668,0.49981975555521935,0.7507410247116749,3.335432534227622,-0.11504951968639503,1.3039140711747577
TAN,5M,50.00055538143055,-0.515102553477046,0.6699179527898865,0.762063172817569,-0.24161835223870343,-1.198764446806395,-0.6769232216683786,-2.442501838258685,-0.17337893263224005,-0.32311848924905584
PBW,5M,50.9259501476951,-0.4488997675931043,0.495557266501137,0.2837921982038298,-0.1844290777895081,-0.5537190303108265,-0.7898479179568599,-2.4938765603599364,-0.18672571945548383,-0.4972185125545451
EEM,5M,57.932079171697126,0.05231903821833954,0.6437770310016299,0.1650575403982113,-0.10748511527013657,1.5171404195584421,-0.6019017956015319,1.3987759868478498,-0.08674581390934953,-0.677463229400002
