Ticker,Timeframe,CMF_1MO,RSI_1MO,MACD_12_26_9_1MO,MACDh_12_26_9_1MO,MACDs_12_26_9_1MO,OBV_1MO,VWAP_1MO,BBL_20_2.0_1MO,BBM_20_2.0_1MO,BBU_20_2.0_1MO,BBB_20_2.0_1MO,BBP_20_2.0_1MO,VOLUME_1MO,VOLUME_1MO_Avg,VOLUME_1MO_Slope,REL_VOLUME_1MO,OBV_Z_1MO,OBV_Trend_1MO,CMF_Z_1MO,CMF_Trend_1MO,RSI_Z_1MO,MACDh_12_26_9_Z_1MO,VOLUME_Z_1MO,VWAP_Z_1MO,sumZZ_1MO
SPY,1MO,0.3447044220093007,64.7827281376378,38.90800075911227,-1.3233671523806407,40.23136791149291,57868721591.0,523.9422584390738,438.21704182253325,539.3580001831054,640.4989585436776,37.50420252457035,0.7711167311091294,802357991,1280616978.2,-1434530009.0,0.6265401791937604,4.284749148563779,,0.9430302823780269,,0.7045011884689881,-0.4373787493080391,3.145679922707514,2.3646813415919286,11.005263134402197
QQQ,1MO,0.24221656005666076,66.79648497665744,39.155468241827634,-1.5421706503895507,40.697638892217185,35244200065.0,449.7237715560465,371.63198195992027,462.00999908447267,552.3880162090251,39.12383597915505,0.8291730255552838,539100865,829892053.0,-827016835.0,0.6496035997105759,2.443961972303122,,0.36873189916730587,,0.9017196107362813,-0.486206345092991,1.8006039339557272,1.890412816649826,6.919223887719271
DIA,1MO,0.281973410593783,58.688630865089124,21.635000459374226,-1.2844600477128978,22.919460507087123,2472205312.0,397.7223312218865,345.4098575799545,403.5415008544922,461.6731441290299,28.810738499730473,0.6978998497411696,33153312,58658882.4,-62080388.0,0.5651882655029923,-0.22244878968701576,,0.5915123782407252,,0.10767230329903131,-0.4286963452460985,-0.7844653306385464,1.5581149291839098,0.8216891451520056
IWM,1MO,0.22012191593125408,51.753874273593425,5.150324302825169,-1.9367607098125843,7.087085012637753,21349719932.0,203.27101532833584,173.36614088749886,207.35550079345703,241.3448606994152,32.78365876564263,0.5366953852170268,354017732,600879626.4,-630259768.0,0.5891658103320908,1.3134726127716,,0.24492291186790338,,-0.5714870307784222,-0.5742619936433787,0.8549471842073711,0.31553854916106566,1.5831322335861393
VTI,1MO,0.30744473732327654,63.365148934517705,18.30137016183801,-0.6690855482403819,18.97045571007839,1652034771.0,263.02129960165155,217.41831214408012,266.7894989013672,316.1606856586543,37.01134187109797,0.761189667140134,43177771,77032334.2,-87317629.0,0.5605148986904255,-0.2891798987840438,,0.7342428585169153,,0.5656697623200506,-0.29137103925219,-0.7332467394991493,0.6973528433791433,0.683467786680726
VOO,1MO,0.29896186649195255,64.81754029413476,35.79375096344029,-1.203364216681777,36.997115180122066,1871795160.0,493.410410732611,402.64004303794826,495.7069976806641,588.77395232338,37.54917928460225,0.7715948549033004,76909810,142483342.0,-173744590.0,0.5397810643717215,-0.2712996485671998,,0.6867084587294948,,0.7079105368307268,-0.41059921931591303,-0.5608975370295499,2.169577736228445,2.321400326876004
IVV,1MO,0.28197159464654614,64.82811232942993,39.14348788894165,-1.3166158333923548,40.460103722334004,3405673764.0,538.5220433450637,440.2902482699626,541.9740005493164,643.6577528286703,37.52347978917531,0.7707707782397015,58899364,126420012.8,-129343536.0,0.4659022151277618,-0.14649948159177917,,0.5915022024448577,,0.708945915125001,-0.4358721432547763,-0.6529194276784308,2.4578486018223202,2.523005666867193
XLK,1MO,0.19318410550443635,64.54009659758829,16.145254498889244,-2.03472824872955,18.179982747618794,5740438545.0,206.8491630310554,176.36778903634325,212.41499938964844,248.46220974295363,33.94036245734337,0.8117439571567187,60380145,103690909.0,-102529355.0,0.5823089563232587,0.04346277080373789,,0.0939748807487916,,0.6807389304874611,-0.5961241641928156,-0.6453535813214366,0.3384035104970245,-0.084897652977237
XLF,1MO,0.44909050568136893,65.92911836128448,4.086072572549277,0.45752251817456546,3.6285500543747116,-3035319864.0,43.59160272965612,32.99813567571523,44.24750022888183,55.49686478204843,50.84745802577007,0.8263517636486946,464257253,947441630.6,-958052747.0,0.4900114561210416,-0.6705546957174598,,1.5279654926595179,,0.8167735675514174,-0.039960235606193134,1.4182008174959086,-0.7048395622406599,2.3475853841425307
XLY,1MO,0.18119271882637747,61.10859474936488,13.074242822667287,0.8213406678814437,12.252902154785843,1596412305.0,186.87568171139563,151.39002666607706,192.5970001220703,233.80397357806356,42.79087777055278,0.8042324629064491,44867605,78078561.0,-84220895.0,0.5746469251655394,-0.2937054805519114,,0.026780250570574628,,0.3446728437580485,0.041228436945985096,-0.7246127656618129,0.21076962948886874,-0.39486708545024723
XLP,1MO,0.37704213295917943,58.416142421454744,2.4762426640389634,0.1720665740750409,2.3041760899639225,5235592389.0,77.03293962817887,68.99436291955043,77.83200035095214,86.66963778235386,22.709521511851015,0.7397699258861707,159259689,258869297.8,-224815311.0,0.6152127361315846,0.002387235620316523,,1.1242370590774273,,0.08098599247025967,-0.1036618106712126,-0.14014218425890923,-0.4911438350837476,0.472662457154134
XLV,1MO,0.19298313701152173,44.511942708503526,2.4928516135191785,-1.7984237201093407,4.291275333628519,5610839837.0,141.8632342219375,127.89738176674744,143.15050010681153,158.4036184468756,21.310604334156,0.17021485231331934,158952763,186249872.6,-100409737.0,0.8534382374659407,0.032918298538448514,,0.09284873880028947,,-1.2807297207399648,-0.5433910858342998,-0.14171038033852315,-0.07686742660612847,-1.9169315761801782
