Ticker,Timeframe,Date,Time,CMF_1H,OBV_1H,RSI_1H,MACD_12_26_9_1H,MACDh_12_26_9_1H,MACDs_12_26_9_1H,ATR_1H,VWAP_1H,BBL_20_2.0_1H,BBM_20_2.0_1H,BBU_20_2.0_1H,BBB_20_2.0_1H,BBP_20_2.0_1H,VOLUME_1H,VOLUME_1H_Avg,VOLUME_1H_Slope,REL_VOLUME_1H,OBV_Z_1H,OBV_Trend_1H,CMF_Z_1H,CMF_Trend_1H,RSI_Z_1H,MACDh_12_26_9_Z_1H,VOLUME_Z_1H,VWAP_Z_1H,ATR_Z_1H,sumZZ_1H,slope_sumZZ_1H
SPY,1H,05/20/25,15:00,0.34939370484255844,447720.0,54.325515543843025,0.9371744928241696,-0.45162072737663483,1.3887952202008045,1.8720707308180677,592.9429513458784,590.0078481110826,592.9665,595.9251518889174,0.9979153591028889,0.4853818557830317,292364.0,121087.8,182835.0,2.414479410807695,0.11032861167770111,,0.47196701421382475,,-0.3405916870097189,-2.221605465878915,2.436178346950046,3.429705435285717,3.029439293545493,6.915421548784148,
QQQ,1H,05/20/25,16:00,0.39053845883674293,3593603.0,50.70788012566533,0.45849120739205773,-0.3433105423637064,0.8018017497557641,2.0048508657240207,519.8170971495713,516.3712368813638,519.9325,523.4937631186363,1.3698944069225323,0.43646917049851863,3644.0,78972.0,-227199.0,0.046142936737071365,1.6598315197358338,,0.6513090242202868,,-0.6909625983424708,-1.6125043053660206,-0.6552367144072222,2.8910912396988384,3.3088586924437706,5.5523868579830165,
DIA,1H,05/20/25,15:00,0.43084002658820847,-201122.0,60.33525861901338,1.1812904221469012,-0.2854673563793224,1.4667577785262236,1.1446662622449364,426.4820038824106,424.04349297232204,426.4625,428.8815070276779,1.1344523974220173,0.6276350157181562,12404.0,4002.6,9568.0,3.0989856593214413,-0.20925815167944053,,0.8269757487796567,,0.24145678242499372,-1.2872130900786867,-0.5614406630859086,2.2036243139086333,1.4987064056132262,2.7128513458824743,
IWM,1H,05/20/25,16:00,0.27460983973335285,1545416.0,53.17681943537925,0.30955877182256586,-0.01624269573178383,0.3258014675543497,0.7539174748989814,208.74337170927515,207.00672508942526,208.68775,210.36877491057473,1.611043207447236,0.5631311287134478,2566.0,75875.0,-155658.0,0.033818780889621085,0.6509981611058839,,0.14599863713633068,,-0.45184383263626016,0.22681860712072066,-0.666779196521877,0.599853397246397,0.6764238303035174,1.1814696037547123,
VTI,1H,05/20/25,15:00,0.45368531094271863,-220676.0,55.29633657769891,0.6781629900610824,-0.30319858034737424,0.9813615704084566,0.8214900935956989,291.7841595637084,290.69504006788367,291.9585,293.22195993211636,0.865506523780844,0.47289189856409286,5742.0,2573.4,3827.0,2.231289344835626,-0.21888946341740687,,0.926553916530669,,-0.24656688598528825,-1.3869277115149372,-0.6327727742620035,1.2114968117772713,0.8186220628297354,0.47151595595803975,
VOO,1H,05/20/25,15:00,0.3645797112197215,-170130.0,54.26326279036017,0.975013648733011,-0.45284606003151384,1.4278597087645248,1.4773533913175994,545.1662476716706,542.2872229936148,545.1279999999999,547.968777006385,1.0422421913330853,0.4827511980384794,7648.0,4437.4,4456.0,1.7235317978996711,-0.19399305945365286,,0.5381598734064285,,-0.34662091645090654,-2.228496337148427,-0.6123646379813615,3.0778023895011843,2.1988053902431135,2.433292702116378,
VUG,1H,05/20/25,15:00,0.15674707545457148,53653.0,52.49171133707307,0.8720899372054305,-0.5835235897045405,1.455613526909971,1.484857081610207,413.6220920439002,411.99057555809696,413.83225000000004,415.6739244419031,0.890058443682473,0.324276759976315,1835.0,1030.0,605.0,1.7815533980582525,-0.08376886825710388,,-0.36774231398619045,,-0.5181971051520133,-2.963384150028608,-0.6746062414437811,2.108903627957764,2.214595979946644,-0.2841990709632891,
VTV,1H,05/20/25,15:00,0.46305945419376787,-213613.0,59.26916386183121,0.5354757190827115,-0.12282079812410696,0.6582965172068185,0.38680924444690185,172.7953599992062,172.0047620465709,172.88675,173.7687379534291,1.0203071703633775,0.5415255104761981,4338.0,1685.2,3633.0,2.5741751720863992,-0.2154105867269468,,0.9674139905262336,,0.1382046443670511,-0.3725418855668072,-0.6478058400217208,0.3350755068139831,-0.09611011203797011,0.10882571735382289,
MTUM,1H,05/20/25,15:00,0.13767853214534187,1581.0,57.749408548379435,0.7303088345896356,-0.2690082787963066,0.9993171133859422,0.7490982685783831,230.12938653705447,229.2028756977239,230.289,231.37512430227608,0.9432706749137738,0.537288549676254,6650.0,3429.8,2748.0,1.9388885649308996,-0.10941690266537751,,-0.45085839934316874,,-0.008984884876643376,-1.1946526050643733,-0.6230505351524427,0.7573737612800401,0.6662824056527431,-0.9633071601692224,
QUAL,1H,05/20/25,15:00,0.42377894225991375,123625.0,59.1833167284697,0.4806928076630186,-0.16938499897452375,0.6500778066375423,0.41891224724269494,178.94602843549902,178.12165587521832,178.94375,179.76584412478167,0.9188296599145498,0.5524574968972761,2855.0,2118.8,86.0,1.3474608268831414,-0.04930419888362634,,0.7961978504249724,,0.12989028018318638,-0.6344037665428105,-0.6636847834132172,0.3803787360007782,-0.028553306568659932,-0.06947918879937706,
