Ticker,Timeframe,RSI_1MO,RSI_Z_1MO,BBP_20_2.0_1MO,MACDh_12_26_9_Z_1MO,OBV_Z_1MO,CMF_Z_1MO,VWAP_Z_1MO,sumZZ_1MO,slope_sumZZ_1MO,ATR_Z_1MO
SPY,1MO,64.87444231141922,0.9157059007308083,0.7720085433850613,-1.1542038095751475,4.380763211405116,0.9492272842348953,3.0763088060551658,11.799086648188883,,2.6118817396564826
QQQ,1MO,66.75466788360112,1.1199822646861661,0.8293580061710336,-0.931589310672915,1.9608392086357536,0.45378676973225796,2.481443994754502,8.256184546140785,,2.9701119519130597
DIA,1MO,58.773086512994034,0.2528265121402684,0.6994476859473493,-1.049076790065552,-0.09586673098694978,0.47563012808615307,2.1075648868272907,2.560835986425107,,1.533299003599675
IWM,1MO,51.778652524645715,-0.5070810033221049,0.5374432895992393,-1.490329590684927,0.02160474176427571,0.12384051015927035,0.6348273907119744,0.19860188131448098,,1.0047575804812783
VTI,1MO,63.34582173925014,0.7496295229972072,0.7626219936861882,-0.5629460940265648,-0.1494589459839174,1.0330472808627353,1.083976629291517,2.3522126050153513,,0.862059720964649
VOO,1MO,64.8110391272389,0.9088174868515538,0.7714031835591292,-0.9235417283477884,-0.05400488336912119,0.7440914186503119,2.8470897143394427,5.203271482030943,-1.5158064502650463,2.2851238306916923
IVV,1MO,64.76884974876825,0.9042338385068925,0.7709397728233448,-1.0257949718786297,0.02630831570819172,0.808274281598984,3.1880539593276493,5.917762525499466,-0.04603408264823476,2.604689285090721
VUG,1MO,67.07868921471484,1.1551854341053955,0.8203964205341202,-0.058124593503445204,-0.1584477902141475,0.40778562019534426,1.8884111365565843,4.634146981004964,0.867859879499138,2.0812810804650206
VTV,1MO,58.4757103793375,0.22051819966477862,0.684914089201712,-0.5823746616026261,-0.19236214824945438,1.0353491267435384,0.31409214120374324,0.14963770370052779,0.20901352238193124,0.014867654583743136
MTUM,1MO,68.67159955548838,1.3282465483325079,0.9055501653658936,1.6186207201135607,-0.22173432625746847,-0.20310104826453776,0.5915338439702026,3.204178361785089,-0.3481339455896303,0.7554020324969534
QUAL,1MO,62.36301690302522,0.6428530801107334,0.7063714764913477,-0.9487786180624638,-0.1666515309213793,0.4841543047100676,0.34367787262485777,-0.19606928028217108,-1.1320561594289469,0.13529577841625945
USMV,1MO,64.60442692020608,0.8863701853011988,0.7828301587344304,0.08817327395051135,-0.1700146561046037,1.6258087983978584,-0.2766334461835689,1.0502528787301142,-1.0221044674178172,-0.5030398430328404
XLK,1MO,64.45069505821671,0.8696680479322058,0.8114263586174134,-1.6315659826406737,0.2244594580939923,0.15687734765416983,0.6472750494223518,0.9434041678048084,-0.5472033195136936,1.1055208394480642
XLF,1MO,66.1406411788663,1.0532715761015186,0.8275154813527212,0.18293673627244206,0.25021907647245206,1.4322958566969475,-0.5911626576057842,4.356203067796484,0.44276646850146345,-0.5750298374255949
XLY,1MO,61.08885208760846,0.5044219474721412,0.8050578890118288,0.6557273286680119,-0.31737543589255035,0.08667951198426231,0.5269385579020276,1.8155298476510797,0.18876359321830313,0.8459702046581061
XLP,1MO,58.38088482509051,0.21021591481225013,0.7385534907553102,-0.04122488267251776,0.5460349269786434,0.9461540528175222,-0.3391175836947667,1.0576320176659786,0.3422038941855806,-0.5206324564513172
XLV,1MO,44.340301601834724,-1.3152176986296455,0.17093124746453053,-1.556203750581227,-0.043413494034105514,-0.02722406230632166,0.15142522349098586,-2.4197791225772702,-0.5585185622028234,-0.05537811570503553
XLE,1MO,49.78688326882572,-0.7234759866882899,0.3049418156191565,-1.5357793404169857,2.036829662161068,-0.4664221345914482,-0.25816373853078467,-0.7931776171981529,-0.8505358093177476,-0.07153539564865811
XLI,1MO,65.16150220808797,0.9468934097172141,0.870672835361427,-0.09222717858953437,-0.019265773111445554,0.5582487431057489,0.023435593440202712,1.1190999177773506,-0.7854014081396175,-0.005940630959961351
XLRE,1MO,52.80610633837819,-0.39545368992599117,0.6377974946581644,-0.07231380032628654,-0.08795162885943701,0.780706806361034,-0.6240819715809219,-1.2509721657419792,-0.3863287103214875,-0.6083629629337474
XLU,1MO,63.04358851330809,0.7167935136505754,0.8194859274803418,0.3761237314563154,0.8845722839872685,1.4942243990852906,-0.3925187286963286,2.604553507965785,0.37580873877086884,-0.3990661543099222
XLB,1MO,50.655745333874094,-0.6290788111297952,0.43923871643511647,-0.9473457464770042,-0.2007927493304094,0.2184934048455258,-0.2686651007065076,-2.5175223766777814,0.2095544291848551,-0.2629117990825347
XLC,1MO,70.78256106027521,1.5575911264658524,0.836287227821279,0.5082928059060522,0.14497604965350303,0.6748450073986298,-0.26646129582336636,1.8512681339611001,0.17622535846110382,-0.27818334587145266
ARKK,1MO,54.77775113866196,-0.18124512007547344,0.8513852951735404,1.5745934926099932,-1.1600985465088094,-0.7332532182010415,-0.5599084284501673,-0.9926240615876265,-0.18211356806740614,0.00579783471750949
SMH,1MO,56.641772471929436,0.02127074074926183,0.6996518246508416,-0.06815372641931827,-0.011379419584057674,-0.5293980641764364,0.7529383679130187,2.2382457796156086,0.3149527865361882,2.435832796225196
TAN,1MO,40.707376319034296,-1.7099154297272876,0.3058635767343882,-0.010895072717435275,-0.26977455429870145,-1.2574307123157376,-0.6324884944681948,-4.5983216591302,-0.702598958918528,-0.15954890781849415
PBW,1MO,37.625090727078565,-2.0447891293047507,0.2953158146478755,0.762775503921616,-0.22387122320638525,-1.0349285728395685,-0.7856949490870494,-4.45938166106708,-0.7379198845719188,-0.45153456572068895
