Timeframe,CMF_Top,CMF_Bottom,RSI_Z_Top,RSI_Z_Bottom,CMF_Z_Top,CMF_Z_Bottom,OBV_Z_Top,OBV_Z_Bottom,MACDh_12_26_9_Z_Top,MACDh_12_26_9_Z_Bottom,VWAP_Z_Top,VWAP_Z_Bottom,sumZZ_Top,sumZZ_Bottom
1H,"[{'Ticker': 'EFA', 'Indicator': 'CMF', 'Value': 0.5549}, {'Ticker': 'IEFA', 'Indicator': 'CMF', 'Value': 0.5541}]","[{'Ticker': 'CYB', 'Indicator': 'CMF', 'Value': nan}, {'Ticker': 'UUP', 'Indicator': 'CMF', 'Value': -0.4579}]","[{'Ticker': 'GDX', 'Indicator': 'RSI_Z', 'Value': 2.0789}, {'Ticker': 'SIL', 'Indicator': 'RSI_Z', 'Value': 2.0338}]","[{'Ticker': 'CYB', 'Indicator': 'RSI_Z', 'Value': nan}, {'Ticker': 'UUP', 'Indicator': 'RSI_Z', 'Value': -2.3616}]","[{'Ticker': 'EFA', 'Indicator': 'CMF_Z', 'Value': 1.3677}, {'Ticker': 'IEFA', 'Indicator': 'CMF_Z', 'Value': 1.364}]","[{'Ticker': 'CYB', 'Indicator': 'CMF_Z', 'Value': nan}, {'Ticker': 'UUP', 'Indicator': 'CMF_Z', 'Value': -3.0467}]","[{'Ticker': 'EEM', 'Indicator': 'OBV_Z', 'Value': 2.8768}, {'Ticker': 'EFA', 'Indicator': 'OBV_Z', 'Value': 2.8747}]","[{'Ticker': 'CYB', 'Indicator': 'OBV_Z', 'Value': nan}, {'Ticker': 'TLT', 'Indicator': 'OBV_Z', 'Value': -4.3379}]","[{'Ticker': 'GLD', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 3.6269}, {'Ticker': 'SIL', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 1.3597}]","[{'Ticker': 'CYB', 'Indicator': 'MACDh_12_26_9_Z', 'Value': nan}, {'Ticker': 'VUG', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -2.9634}]","[{'Ticker': 'SPY', 'Indicator': 'VWAP_Z', 'Value': 3.4297}, {'Ticker': 'VOO', 'Indicator': 'VWAP_Z', 'Value': 3.0778}]","[{'Ticker': 'CYB', 'Indicator': 'VWAP_Z', 'Value': nan}, {'Ticker': 'UNG', 'Indicator': 'VWAP_Z', 'Value': -0.8164}]","[{'Ticker': 'GLD', 'Indicator': 'sumZZ', 'Value': 8.1116}, {'Ticker': 'EFA', 'Indicator': 'sumZZ', 'Value': 6.9577}]","[{'Ticker': 'UUP', 'Indicator': 'sumZZ', 'Value': -7.3271}, {'Ticker': 'TLT', 'Indicator': 'sumZZ', 'Value': -4.7752}]"
1D,"[{'Ticker': 'SIL', 'Indicator': 'CMF', 'Value': 0.4709}, {'Ticker': 'UUP', 'Indicator': 'CMF', 'Value': 0.4572}]","[{'Ticker': 'VXX', 'Indicator': 'CMF', 'Value': -0.3945}, {'Ticker': 'FXY', 'Indicator': 'CMF', 'Value': -0.2662}]","[{'Ticker': 'MTUM', 'Indicator': 'RSI_Z', 'Value': 1.4459}, {'Ticker': 'IEFA', 'Indicator': 'RSI_Z', 'Value': 1.42}]","[{'Ticker': 'TLT', 'Indicator': 'RSI_Z', 'Value': -2.2974}, {'Ticker': 'VXX', 'Indicator': 'RSI_Z', 'Value': -2.2472}]","[{'Ticker': 'SIL', 'Indicator': 'CMF_Z', 'Value': 1.8637}, {'Ticker': 'UUP', 'Indicator': 'CMF_Z', 'Value': 1.7889}]","[{'Ticker': 'VXX', 'Indicator': 'CMF_Z', 'Value': -2.8753}, {'Ticker': 'FXY', 'Indicator': 'CMF_Z', 'Value': -2.1728}]","[{'Ticker': 'XLE', 'Indicator': 'OBV_Z', 'Value': 3.055}, {'Ticker': 'SLV', 'Indicator': 'OBV_Z', 'Value': 1.2999}]","[{'Ticker': 'HYG', 'Indicator': 'OBV_Z', 'Value': -5.4178}, {'Ticker': 'LQD', 'Indicator': 'OBV_Z', 'Value': -2.5289}]","[{'Ticker': 'QQQ', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 3.1066}, {'Ticker': 'SPY', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 2.8422}]","[{'Ticker': 'GLD', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.9308}, {'Ticker': 'VXX', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.7225}]","[{'Ticker': 'SPY', 'Indicator': 'VWAP_Z', 'Value': 3.4566}, {'Ticker': 'VOO', 'Indicator': 'VWAP_Z', 'Value': 3.1082}]","[{'Ticker': 'UNG', 'Indicator': 'VWAP_Z', 'Value': -0.8117}, {'Ticker': 'PBW', 'Indicator': 'VWAP_Z', 'Value': -0.8109}]","[{'Ticker': 'QQQ', 'Indicator': 'sumZZ', 'Value': 13.0438}, {'Ticker': 'SPY', 'Indicator': 'sumZZ', 'Value': 12.076}]","[{'Ticker': 'VXX', 'Indicator': 'sumZZ', 'Value': -7.1229}, {'Ticker': 'CPER', 'Indicator': 'sumZZ', 'Value': -5.7267}]"
1WK,"[{'Ticker': 'IEFA', 'Indicator': 'CMF', 'Value': 0.3515}, {'Ticker': 'EFA', 'Indicator': 'CMF', 'Value': 0.339}]","[{'Ticker': 'CYB', 'Indicator': 'CMF', 'Value': -0.2728}, {'Ticker': 'VXX', 'Indicator': 'CMF', 'Value': -0.0877}]","[{'Ticker': 'GLD', 'Indicator': 'RSI_Z', 'Value': 1.917}, {'Ticker': 'IEFA', 'Indicator': 'RSI_Z', 'Value': 1.5441}]","[{'Ticker': 'UUP', 'Indicator': 'RSI_Z', 'Value': -2.4619}, {'Ticker': 'TLT', 'Indicator': 'RSI_Z', 'Value': -2.1583}]","[{'Ticker': 'IEFA', 'Indicator': 'CMF_Z', 'Value': 2.2156}, {'Ticker': 'EFA', 'Indicator': 'CMF_Z', 'Value': 2.107}]","[{'Ticker': 'CYB', 'Indicator': 'CMF_Z', 'Value': -3.1719}, {'Ticker': 'VXX', 'Indicator': 'CMF_Z', 'Value': -1.5745}]","[{'Ticker': 'XLF', 'Indicator': 'OBV_Z', 'Value': 3.3232}, {'Ticker': 'XLE', 'Indicator': 'OBV_Z', 'Value': 2.0732}]","[{'Ticker': 'HYG', 'Indicator': 'OBV_Z', 'Value': -5.1393}, {'Ticker': 'VXX', 'Indicator': 'OBV_Z', 'Value': -1.168}]","[{'Ticker': 'QQQ', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 3.1291}, {'Ticker': 'SMH', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 2.8363}]","[{'Ticker': 'XLV', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.6296}, {'Ticker': 'VXX', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.5454}]","[{'Ticker': 'SPY', 'Indicator': 'VWAP_Z', 'Value': 3.4827}, {'Ticker': 'VOO', 'Indicator': 'VWAP_Z', 'Value': 3.1061}]","[{'Ticker': 'PBW', 'Indicator': 'VWAP_Z', 'Value': -0.8065}, {'Ticker': 'UNG', 'Indicator': 'VWAP_Z', 'Value': -0.7915}]","[{'Ticker': 'QQQ', 'Indicator': 'sumZZ', 'Value': 11.6396}, {'Ticker': 'SPY', 'Indicator': 'sumZZ', 'Value': 10.7522}]","[{'Ticker': 'CYB', 'Indicator': 'sumZZ', 'Value': -7.9543}, {'Ticker': 'UUP', 'Indicator': 'sumZZ', 'Value': -6.8815}]"
1MO,"[{'Ticker': 'SHY', 'Indicator': 'CMF', 'Value': 0.5948}, {'Ticker': 'USMV', 'Indicator': 'CMF', 'Value': 0.48}]","[{'Ticker': 'VXX', 'Indicator': 'CMF', 'Value': -0.3733}, {'Ticker': 'CYB', 'Indicator': 'CMF', 'Value': -0.283}]","[{'Ticker': 'GLD', 'Indicator': 'RSI_Z', 'Value': 2.8645}, {'Ticker': 'XLC', 'Indicator': 'RSI_Z', 'Value': 1.4367}]","[{'Ticker': 'PBW', 'Indicator': 'RSI_Z', 'Value': -2.043}, {'Ticker': 'TLT', 'Indicator': 'RSI_Z', 'Value': -2.0287}]","[{'Ticker': 'SHY', 'Indicator': 'CMF_Z', 'Value': 2.2346}, {'Ticker': 'USMV', 'Indicator': 'CMF_Z', 'Value': 1.6209}]","[{'Ticker': 'VXX', 'Indicator': 'CMF_Z', 'Value': -2.9387}, {'Ticker': 'CYB', 'Indicator': 'CMF_Z', 'Value': -2.4558}]","[{'Ticker': 'SPY', 'Indicator': 'OBV_Z', 'Value': 4.3316}, {'Ticker': 'EFA', 'Indicator': 'OBV_Z', 'Value': 2.0157}]","[{'Ticker': 'LQD', 'Indicator': 'OBV_Z', 'Value': -3.1417}, {'Ticker': 'HYG', 'Indicator': 'OBV_Z', 'Value': -2.3583}]","[{'Ticker': 'GLD', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 5.2522}, {'Ticker': 'VXX', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 1.5987}]","[{'Ticker': 'XLK', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.6356}, {'Ticker': 'XLE', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -1.5723}]","[{'Ticker': 'SPY', 'Indicator': 'VWAP_Z', 'Value': 3.4169}, {'Ticker': 'VOO', 'Indicator': 'VWAP_Z', 'Value': 3.1667}]","[{'Ticker': 'UNG', 'Indicator': 'VWAP_Z', 'Value': -0.8368}, {'Ticker': 'PBW', 'Indicator': 'VWAP_Z', 'Value': -0.799}]","[{'Ticker': 'SPY', 'Indicator': 'sumZZ', 'Value': 12.1256}, {'Ticker': 'GLD', 'Indicator': 'sumZZ', 'Value': 10.904}]","[{'Ticker': 'CYB', 'Indicator': 'sumZZ', 'Value': -6.9318}, {'Ticker': 'UUP', 'Indicator': 'sumZZ', 'Value': -5.4247}]"
5M,"[{'Ticker': 'VOO', 'Indicator': 'CMF', 'Value': 0.6694}, {'Ticker': 'DIA', 'Indicator': 'CMF', 'Value': 0.6477}]","[{'Ticker': 'CYB', 'Indicator': 'CMF', 'Value': nan}, {'Ticker': 'VXX', 'Indicator': 'CMF', 'Value': -0.3392}]","[{'Ticker': 'GDX', 'Indicator': 'RSI_Z', 'Value': 2.0887}, {'Ticker': 'EWZ', 'Indicator': 'RSI_Z', 'Value': 1.7955}]","[{'Ticker': 'CYB', 'Indicator': 'RSI_Z', 'Value': nan}, {'Ticker': 'UUP', 'Indicator': 'RSI_Z', 'Value': -3.1434}]","[{'Ticker': 'VOO', 'Indicator': 'CMF_Z', 'Value': 2.1771}, {'Ticker': 'DIA', 'Indicator': 'CMF_Z', 'Value': 2.0828}]","[{'Ticker': 'CYB', 'Indicator': 'CMF_Z', 'Value': nan}, {'Ticker': 'VXX', 'Indicator': 'CMF_Z', 'Value': -2.2181}]","[{'Ticker': 'HYG', 'Indicator': 'OBV_Z', 'Value': 4.6162}, {'Ticker': 'QQQ', 'Indicator': 'OBV_Z', 'Value': 2.4839}]","[{'Ticker': 'CYB', 'Indicator': 'OBV_Z', 'Value': nan}, {'Ticker': 'TLT', 'Indicator': 'OBV_Z', 'Value': -2.7748}]","[{'Ticker': 'SPY', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 3.648}, {'Ticker': 'SMH', 'Indicator': 'MACDh_12_26_9_Z', 'Value': 2.6899}]","[{'Ticker': 'CYB', 'Indicator': 'MACDh_12_26_9_Z', 'Value': nan}, {'Ticker': 'VXX', 'Indicator': 'MACDh_12_26_9_Z', 'Value': -2.2199}]","[{'Ticker': 'SPY', 'Indicator': 'VWAP_Z', 'Value': 3.4245}, {'Ticker': 'VOO', 'Indicator': 'VWAP_Z', 'Value': 3.0772}]","[{'Ticker': 'CYB', 'Indicator': 'VWAP_Z', 'Value': nan}, {'Ticker': 'UNG', 'Indicator': 'VWAP_Z', 'Value': -0.8139}]","[{'Ticker': 'SPY', 'Indicator': 'sumZZ', 'Value': 15.0698}, {'Ticker': 'QQQ', 'Indicator': 'sumZZ', 'Value': 9.625}]","[{'Ticker': 'VXX', 'Indicator': 'sumZZ', 'Value': -7.266}, {'Ticker': 'UUP', 'Indicator': 'sumZZ', 'Value': -6.9094}]"
